frameNr,startPosition_x,startPosition_y,endPosition_x,endPosition_y,KeysUsed,arrowDirection,rating
3,-8.600322E-07,-8.159438E-09,-8.600322E-07,-8.159438E-09,,342.3626,0
4,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
5,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
6,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
7,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
8,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
9,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
10,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
11,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
12,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
13,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
14,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
15,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
16,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
17,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
18,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
19,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
20,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
21,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
22,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
23,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
24,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
25,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
26,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
27,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
28,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
29,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
30,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
31,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
32,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
33,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
34,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
35,-8.561572E-07,-1.273454E-08,-8.561572E-07,-1.273454E-08,,342.3626,0
